Date,Reviews,Username,Stars,Helpful
4-Aug-18,"Trying to do too much. Every time I turn around, the program is asking me if I want directions home. How can I shut This off. Now the latest version won't stay on a site that I have entered. Instead it returns to a map of my present location. Bringg back the version from 2 years ago. The entire ...
Full Review",John T. Hayner,Rated 1 stars out of five stars,270
3-Aug-18,"The latest update allows you to not only share your location with contacts and vice versa but now you can also view and share the phones battery life... No more wondering if the phone died... You'll know if they're being sly and turning it off while it still had power left or if it legitimately ...
Full Review",Kaelin Slape,Rated 5 stars out of five stars,76
7-Aug-18,"In the past I've had Garmin, Navman and TomTom satnavs. This app is the best I've and it was already in my pocket. I won't buy a stand alone satnav again. A half decent phone is essential for it to work properly but you don't need the most expensive handset in the world. It runs fine on my Moto ...
Full Review",paul herrett,Rated 5 stars out of five stars,1
7-Aug-18,"Please add options for people to be able to find their cars easier. I see the mark my parking function. but hopefully you can build off of that. like automatically saving your parking location depending to what Bluetooth device you're connected to. Even though the parking feature is available it...
Full Review",A Google user,Rated 4 stars out of five stars,68
6-Aug-18,"I have seceral other apps on my phone, including other maps app and everything runs smoothly except for Google Maps. I didn't give it any permission since I just want maps and directions between two points. The app is stuck showing and hiding a small permission request dialog which I cannot sele...
Full Review",Marcelo de Moraes Leite,Rated 2 stars out of five stars,12
2-Aug-18,"For more than two years, if I use GPS, then turn it off to save battery, the next time I use Maps, it *always* gives a popup asking me if I want to turn GPS on. I just want to look up addresses, and very rarely use GPS with Maps. If I need GPS, I'll turn it on. Why does this app throw a popup in ...
Full Review",J Doxie,Rated 2 stars out of five stars,64
2-Aug-18,"This app was very good last year. But as a driver, it's getting crazy making you push too many buttons to start a trip. I don't want to explore. I want to get to an address. I wish I could remove some of those useless features. And every time I start a trip I am going the wrong way. Sometimes th...
Full Review",chimesickle,Rated 3 stars out of five stars,50
3-Aug-18,"The routing will consistently take you a slower way every time, taking random rurns that make no sense. Update: this app has gotten even more garbage, it is worthless to me and ends up taking more time than anything. Download Waze and stop supporting the monopoly that is Google.",Galen McCarty,Rated 1 stars out of five stars,40
31-Jul-18,"When I select Directions on a location, the app no longer automatically sets my current location as the Starting Point, please fix this. + Timeline has been so inaccurate for the past few months that I keep having to manually edit the days events. + Please allow ""Explore City"" to be turned off. ...
Full Review",A Google user,Rated 3 stars out of five stars,242
6-Aug-18,"Again after using it, found nothing great. You have added real time location sharing feature which is Cool but its not usable to send location of any other places which we recommend to other people. Again saying plz add GMAP account functionality using Gmail to send any location to Gmap Account ...
Full Review",predi damor,Rated 4 stars out of five stars,5
6-Aug-18,"1. I was taking a long trip and it suggested alternative routes that would take me 5 more hours to get to my destination 2. When it's connected to bluetooth, maps pauses my music and plays the voice over my phone speakers, not through bluetooth 3. The directions using landmarks instead of street ...
Full Review",Vialle M,Rated 1 stars out of five stars,3
5-Aug-18,"Please add a search option for my contributions. When i ignore a suggested photo addition to one of my reviews please don't show it again. I would have multiple dups of the same photos due to google suggesting i add it then have to delete it after it had numerous views. Im missing credit for qui...
Full Review",Addalyn Brooks,Rated 3 stars out of five stars,6
2-Aug-18,"I use it regularly and within city limits i feel its good. But whenever I have used it to travel to some different city where I don't know the way, it has landed me in thrilling conditions wondering what to do now. Recently, I was going to navi mumbai from pune and used a pin sent by my friend. ...
Full Review",Awanish Golwara,Rated 5 stars out of five stars,29
