Date,Reviews,Username,Stars,Helpful
31-Jul-18,"This app is wonderful and I love the alerts and warnings provided to us while driving. One thing I would like to see in future releases is, when approaching junctions, forks, exits and lane change announcements, the map would zoom in to provide some more accurate direction. The absence of this h...
Full Review",Gordon Alcindor,Rated 4 stars out of five stars,125
30-Jul-18,"I like this app but..... I am a delivery driver in Georgia, Us. They passed a law for no one to be on cell phones. My point here is when i set up where im going i can only set up 2 stops. My google maps app i can set up to 9 stops which comes in handy. Thats about all i ask. I love everything els...
Full Review",Garrett Neal,Rated 3 stars out of five stars,76
1-Aug-18,"Waze used to work but there have been a couple of times in the past 2 months where it takes me to a different area than the actual destination. This is very serious. First time, I put the address and I drove following the directions but when I got there, there was nothing. Open fields. Got late ...
Full Review",A Google user,Rated 2 stars out of five stars,55
31-Jul-18,"There's still an issue with a major part of the app. Which is finding the fastest route. I can still take routes which are not part of the alternative routes given, yet still reach my destination significantly earlier than the fastest route given that I drive according to the speed limit. I'm a ...
Full Review",Richard Navindran,Rated 3 stars out of five stars,66
5-Aug-18,"Best navigation app by far!!! The design is simple and easy to use for the less experienced. There are also a ton of advanced features! I love that it's updated by the users so you have the most up to date info. Shows traffic, hazards, construction, closures, and my favorite part police!!! It ev...
Full Review",Walter Krom,Rated 5 stars out of five stars,7
31-Jul-18,"I would like to have more choice of the warnings I want to hear. For example 'speed camera ahead' bit not hear 'hazard reported ahead'. Other than that I love it! I've been using it for 4 years on some tricky routes and its taken me on roads I would never have used before and avoided many jams a...
Full Review",A Google user,Rated 4 stars out of five stars,77
1-Aug-18,"App is great, a lot better and more useful than Google maps because of user submitted reports and the speed limit function. Only criticism is that the app always crashes after 2 hours driving, without fail. Also a lane indicator would be a very welcome addition - please!",Harry Drewett,Rated 3 stars out of five stars,12
30-Jul-18,"Awesome app Good accuracy and when it's not you can easily edit once you have reached a certain level of trust within the app. earn points and honk your horn at friends and others passing by! end ETA to friends your picking up or going to. I have been using this app for about 3 years now no comp...
Full Review",Crysta Craven,Rated 5 stars out of five stars,30
30-Jul-18,"It's a good app, but, the map is lagging with the gps... most of the time I missed the designated turns because the ""car"" in the map does not get to the turns right on time... it often lags with the gps. I use Note 8 most of the time. There is no issue with gps. Even Google Maps is better in term...
Full Review",Harvardi Hendarko,Rated 3 stars out of five stars,34
6-Aug-18,"The app is good except for: 1. The map is basic. It does not seem to be able to being changed to a more elaborate and pleasing design. 2. It seems to be slow in advising of traffic hold ups. I have yet to experience the pleasure of avoiding a hold up. 3. Finally one can advise of traffic hold up...
Full Review",Alistair Martin,Rated 3 stars out of five stars,9
29-Jul-18,"Get rid of that rediculous sound the app makes when changing routes! Why not use the user selected voice ""changing routes."" The sound is like nails on a chalkboard!   See the reviews... Nobody wants Facebook in Waze! We want the top people in a list from our phones address book that we can se...
Full Review",A Google user,Rated 2 stars out of five stars,192
6-Aug-18,"Waze is terrific, increasing the safety and joy of driving by reporting road and traffic conditions. However, it fails to recognize voice commands most of the time. It doesn't disable the lock screen when in use, though it can now dim the screen when the battery is low, though it'd be nice if it'...
Full Review",A Google user,Rated 4 stars out of five stars,
4-Aug-18,"I LOVE WAZE  maps. ..voice guided... even tells you when the lights are out or If there is a new pothole. .. never mind if there is a new roadblock or traffic camera. .. WAZE is your best friend, GPS and pigspotter --- now even tells you when you're over the speed limit with glowing red ...
Full Review",Andrew Garcia,Rated 5 stars out of five stars,174
31-Jul-18,"Please fix moving detection and Passenger selection feature. For goodness sake, I'm walking and it makes me select passenger and then I must select to type again. I'm walking to my vehicle. That's annoying. And I've got to tap destination twice to type that's more annoying. Please allow me to tur...
Full Review",Geoff Sanders,Rated 1 stars out of five stars,22
30-Jul-18,"Map is often confusing. No country borders makes looking at the map annoying especially being in Europe. The labels are also not clear for example town/city names not appearing even when zoomed in at an appropriate scale. Google Maps does this much much better. Uses much more battery than Google...
Full Review",A Google user,Rated 3 stars out of five stars,12
31-Jul-18,"When it works it is fantastic... but ... the current version constantly loses calendar sync and I have to turn calendar sync off and on and open and close the app several times before it syncs. Then I have to reverify the addresses before it will work. The map is often wrong putting me 1-2 block...
Full Review",Charles Axelrad,Rated 2 stars out of five stars,11
